Date,Price,Open,High,Low,Change %
2018-11-27,"1,214.69","1,222.36","1,225.43","1,211.71",-0.63%
2018-11-28,"1,221.11","1,214.64","1,226.55","1,210.99",0.53%
2018-11-29,"1,223.99","1,221.13","1,229.23","1,220.45",0.24%
2018-11-30,"1,221.96","1,223.95","1,225.95","1,216.49",-0.17%
2018-12-01,"1,221.96","1,223.95","1,225.95","1,216.49",-0.17%
2018-12-02,"1,221.96","1,223.95","1,225.95","1,216.49",-0.17%
2018-12-03,"1,231.07","1,223.19","1,235.19","1,221.22",0.75%
2018-12-04,"1,238.55","1,231.03","1,242.22","1,230.34",0.61%
2018-12-05,"1,237.56","1,238.55","1,239.64","1,233.21",-0.08%
2018-12-06,"1,237.99","1,237.56","1,244.72","1,234.56",0.04%
2018-12-07,"1,248.09","1,238.00","1,250.44","1,237.29",0.82%
2018-12-08,"1,248.09","1,238.00","1,250.44","1,237.29",0.82%
2018-12-09,"1,248.09","1,238.00","1,250.44","1,237.29",0.82%
2018-12-10,"1,244.58","1,250.76","1,250.85","1,241.47",-0.28%
2018-12-11,"1,242.94","1,244.52","1,249.89","1,240.81",-0.13%
2018-12-12,"1,245.80","1,242.94","1,247.52","1,241.94",0.23%
2018-12-13,"1,242.46","1,245.69","1,247.14","1,240.05",-0.27%
2018-12-14,"1,238.21","1,242.43","1,243.30","1,232.70",-0.34%
2018-12-15,"1,238.21","1,242.43","1,243.30","1,232.70",-0.34%
2018-12-16,"1,238.21","1,242.43","1,243.30","1,232.70",-0.34%
2018-12-17,"1,245.91","1,237.60","1,248.46","1,235.69",0.62%
2018-12-18,"1,249.38","1,246.02","1,250.63","1,244.79",0.28%
2018-12-19,"1,243.40","1,249.37","1,258.44","1,241.49",-0.48%
2018-12-20,"1,260.15","1,243.40","1,266.70","1,242.70",1.35%
2018-12-21,"1,256.01","1,260.10","1,263.12","1,253.68",-0.33%
2018-12-22,"1,256.01","1,260.10","1,263.12","1,253.68",-0.33%
2018-12-23,"1,256.01","1,260.10","1,263.12","1,253.68",-0.33%
2018-12-24,"1,269.13","1,258.65","1,270.13","1,257.96",1.04%
2018-12-25,"1,269.13","1,258.65","1,270.13","1,257.96",1.04%
2018-12-26,"1,266.98","1,270.75","1,279.33","1,264.56",-0.17%
2018-12-27,"1,275.22","1,266.89","1,279.30","1,266.42",0.65%
2018-12-28,"1,280.75","1,275.23","1,282.34","1,274.19",0.43%
2018-12-29,"1,280.75","1,275.23","1,282.34","1,274.19",0.43%
2018-12-30,"1,280.75","1,275.23","1,282.34","1,274.19",0.43%
2018-12-31,"1,282.82","1,280.20","1,284.34","1,277.31",0.16%
2019-01-01,"1,282.61","1,282.78","1,283.05","1,282.52",-0.02%
2019-01-02,"1,284.77","1,282.30","1,288.93","1,278.59",0.17%
2019-01-03,"1,293.99","1,284.80","1,295.11","1,284.17",0.72%
2019-01-04,"1,284.92","1,294.04","1,298.68","1,276.66",-0.70%
2019-01-05,"1,284.92","1,294.04","1,298.68","1,276.66",-0.70%
2019-01-06,"1,284.92","1,294.04","1,298.68","1,276.66",-0.70%
2019-01-07,"1,288.67","1,286.01","1,295.42","1,282.53",0.29%
2019-01-08,"1,285.35","1,288.68","1,290.44","1,279.10",-0.26%
2019-01-09,"1,293.13","1,285.36","1,294.25","1,279.90",0.61%
2019-01-10,"1,286.38","1,293.13","1,297.47","1,285.99",-0.52%
2019-01-11,"1,288.00","1,286.30","1,295.55","1,286.01",0.13%
2019-01-12,"1,288.00","1,286.30","1,295.55","1,286.01",0.13%
2019-01-13,"1,288.00","1,286.30","1,295.55","1,286.01",0.13%
2019-01-14,"1,291.73","1,287.70","1,296.21","1,287.45",0.29%
2019-01-15,"1,289.31","1,291.73","1,295.03","1,286.60",-0.19%
2019-01-16,"1,293.52","1,289.11","1,295.22","1,287.77",0.33%
2019-01-17,"1,291.90","1,293.55","1,295.62","1,288.67",-0.13%
2019-01-18,"1,281.49","1,291.88","1,292.73","1,280.49",-0.81%
2019-01-19,"1,281.49","1,291.88","1,292.73","1,280.49",-0.81%
2019-01-20,"1,281.49","1,291.88","1,292.73","1,280.49",-0.81%
2019-01-21,"1,280.28","1,281.64","1,283.95","1,276.58",-0.09%
2019-01-22,"1,285.04","1,279.94","1,285.84","1,277.21",0.37%
2019-01-23,"1,282.40","1,285.04","1,286.90","1,278.40",-0.21%
2019-01-24,"1,280.94","1,282.42","1,285.19","1,276.79",-0.11%
2019-01-25,"1,303.22","1,280.93","1,303.78","1,279.71",1.74%
2019-01-26,"1,303.22","1,280.93","1,303.78","1,279.71",1.74%
2019-01-27,"1,303.22","1,280.93","1,303.78","1,279.71",1.74%
2019-01-28,"1,303.53","1,303.82","1,304.79","1,297.54",0.02%
2019-01-29,"1,311.93","1,303.53","1,312.34","1,302.45",0.64%
2019-01-30,"1,319.91","1,311.95","1,323.67","1,308.81",0.61%
2019-01-31,"1,320.94","1,319.87","1,326.65","1,317.39",0.08%
2019-02-01,"1,318.00","1,320.93","1,323.82","1,315.94",-0.22%
2019-02-02,"1,318.00","1,320.93","1,323.82","1,315.94",-0.22%
2019-02-03,"1,318.00","1,320.93","1,323.82","1,315.94",-0.22%
2019-02-04,"1,311.75","1,318.13","1,319.11","1,308.50",-0.47%
2019-02-05,"1,315.02","1,311.73","1,317.13","1,310.59",0.25%
2019-02-06,"1,306.22","1,315.02","1,316.16","1,305.70",-0.67%
2019-02-07,"1,310.09","1,306.19","1,312.27","1,302.53",0.30%
2019-02-08,"1,314.06","1,310.13","1,316.05","1,307.53",0.30%
2019-02-09,"1,314.06","1,310.13","1,316.05","1,307.53",0.30%
2019-02-10,"1,314.06","1,310.13","1,316.05","1,307.53",0.30%
2019-02-11,"1,308.32","1,314.55","1,315.01","1,303.69",-0.44%
2019-02-12,"1,310.90","1,308.22","1,315.10","1,306.44",0.20%
2019-02-13,"1,306.19","1,310.89","1,318.36","1,304.80",-0.36%
2019-02-14,"1,312.55","1,306.17","1,314.70","1,302.88",0.49%
2019-02-15,"1,321.41","1,312.64","1,322.76","1,311.17",0.68%
2019-02-16,"1,321.41","1,312.64","1,322.76","1,311.17",0.68%
