Date,Price,Open,High,Low,Vol.,Change %
2019-06-26,"3,160.00","3,160.00","3,160.00","3,160.00",-,-0.47%
2019-06-27,"3,160.00","3,160.00","3,160.00","3,160.00",-,0.00%
2019-06-28,"3,290.00","3,290.00","3,290.00","3,290.00",-,4.11%
2019-06-29,"3,290.00","3,290.00","3,290.00","3,290.00",-,4.11%
2019-06-30,"3,290.00","3,290.00","3,290.00","3,290.00",-,4.11%
2019-07-01,"3,340.00","3,340.00","3,340.00","3,340.00",-,1.52%
2019-07-02,"3,340.00","3,340.00","3,340.00","3,340.00",-,0.00%
2019-07-03,"3,340.00","3,340.00","3,340.00","3,340.00",-,0.00%
2019-07-04,"3,340.00","3,340.00","3,340.00","3,340.00",-,0.00%
2019-07-05,"3,340.00","3,340.00","3,340.00","3,340.00",-,0.00%
2019-07-06,"3,340.00","3,340.00","3,340.00","3,340.00",-,0.00%
2019-07-07,"3,340.00","3,340.00","3,340.00","3,340.00",-,0.00%
2019-07-08,"3,380.00","3,380.00","3,380.00","3,380.00",-,1.20%
2019-07-09,"3,420.00","3,420.00","3,420.00","3,420.00",-,1.18%
2019-07-10,"3,490.00","3,490.00","3,490.00","3,490.00",-,2.05%
2019-07-11,"3,555.00","3,555.00","3,555.00","3,555.00",-,1.86%
2019-07-12,"3,565.00","3,565.00","3,565.00","3,565.00",-,0.28%
2019-07-13,"3,565.00","3,565.00","3,565.00","3,565.00",-,0.28%
2019-07-14,"3,565.00","3,565.00","3,565.00","3,565.00",-,0.28%
2019-07-15,"3,565.00","3,565.00","3,565.00","3,565.00",-,0.00%
2019-07-16,"3,550.00","3,550.00","3,550.00","3,550.00",-,-0.42%
2019-07-17,"3,550.00","3,550.00","3,550.00","3,550.00",-,0.00%
2019-07-18,"3,540.00","3,540.00","3,540.00","3,540.00",-,-0.28%
2019-07-19,"3,530.00","3,530.00","3,530.00","3,530.00",-,-0.28%
2019-07-20,"3,530.00","3,530.00","3,530.00","3,530.00",-,-0.28%
2019-07-21,"3,530.00","3,530.00","3,530.00","3,530.00",-,-0.28%
2019-07-22,"3,520.00","3,520.00","3,520.00","3,520.00",-,-0.28%
2019-07-23,"3,505.00","3,505.00","3,505.00","3,505.00",-,-0.43%
2019-07-24,"3,505.00","3,505.00","3,505.00","3,505.00",-,0.00%
2019-07-25,"3,505.00","3,505.00","3,505.00","3,505.00",-,0.00%
2019-07-26,"3,505.00","3,505.00","3,505.00","3,505.00",-,0.00%
2019-07-27,"3,505.00","3,505.00","3,505.00","3,505.00",-,0.00%
2019-07-28,"3,505.00","3,505.00","3,505.00","3,505.00",-,0.00%
2019-07-29,"3,505.00","3,505.00","3,505.00","3,505.00",-,0.00%
2019-07-30,"3,550.00","3,550.00","3,550.00","3,550.00",-,1.28%
2019-07-31,"3,600.00","3,600.00","3,600.00","3,600.00",-,1.41%
2019-08-01,"3,650.00","3,650.00","3,650.00","3,650.00",-,1.39%
2019-08-02,"3,650.00","3,650.00","3,650.00","3,650.00",-,0.00%
2019-08-03,"3,650.00","3,650.00","3,650.00","3,650.00",-,0.00%
2019-08-04,"3,650.00","3,650.00","3,650.00","3,650.00",-,0.00%
2019-08-05,"3,650.00","3,650.00","3,650.00","3,650.00",-,0.00%
2019-08-06,"3,620.00","3,620.00","3,620.00","3,620.00",-,-0.82%
2019-08-07,"3,620.00","3,620.00","3,620.00","3,620.00",-,0.00%
2019-08-08,"3,680.00","3,680.00","3,680.00","3,680.00",-,1.66%
2019-08-09,"3,710.00","3,710.00","3,710.00","3,710.00",-,0.82%
2019-08-10,"3,710.00","3,710.00","3,710.00","3,710.00",-,0.82%
2019-08-11,"3,710.00","3,710.00","3,710.00","3,710.00",-,0.82%
2019-08-12,"3,740.00","3,740.00","3,740.00","3,740.00",-,0.81%
2019-08-13,"3,750.00","3,750.00","3,750.00","3,750.00",-,0.27%
2019-08-14,"3,800.00","3,800.00","3,800.00","3,800.00",-,1.33%
2019-08-15,"3,830.00","3,830.00","3,830.00","3,830.00",-,0.79%
2019-08-16,"3,875.00","3,875.00","3,875.00","3,875.00",-,1.17%
2019-08-17,"3,875.00","3,875.00","3,875.00","3,875.00",-,1.17%
2019-08-18,"3,875.00","3,875.00","3,875.00","3,875.00",-,1.17%
2019-08-19,"3,900.00","3,900.00","3,900.00","3,900.00",-,0.65%
2019-08-20,"3,920.00","3,920.00","3,920.00","3,920.00",-,0.51%
2019-08-21,"3,945.00","3,945.00","3,945.00","3,945.00",-,0.64%
2019-08-22,"3,945.00","3,945.00","3,945.00","3,945.00",-,0.00%
2019-08-23,"4,015.00","4,015.00","4,015.00","4,015.00",-,1.77%
2019-08-24,"4,015.00","4,015.00","4,015.00","4,015.00",-,1.77%
2019-08-25,"4,015.00","4,015.00","4,015.00","4,015.00",-,1.77%
2019-08-26,"4,015.00","4,015.00","4,015.00","4,015.00",-,1.77%
2019-08-27,"4,130.00","4,130.00","4,130.00","4,130.00",-,2.86%
2019-08-28,"4,350.00","4,350.00","4,350.00","4,350.00",-,5.33%
2019-08-29,"4,520.00","4,520.00","4,520.00","4,520.00",-,3.91%
2019-08-30,"4,890.00","4,890.00","4,890.00","4,890.00",-,8.19%
2019-08-31,"4,890.00","4,890.00","4,890.00","4,890.00",-,8.19%
2019-09-01,"4,890.00","4,890.00","4,890.00","4,890.00",-,8.19%
2019-09-02,"5,040.00","5,040.00","5,040.00","5,040.00",-,3.07%
2019-09-03,"5,040.00","5,040.00","5,040.00","5,040.00",-,0.00%
2019-09-04,"5,040.00","5,040.00","5,040.00","5,040.00",-,0.00%
2019-09-05,"4,890.00","4,890.00","4,890.00","4,890.00",-,-2.98%
2019-09-06,"4,615.00","4,615.00","4,615.00","4,615.00",-,-5.62%
2019-09-07,"4,615.00","4,615.00","4,615.00","4,615.00",-,-5.62%
2019-09-08,"4,615.00","4,615.00","4,615.00","4,615.00",-,-5.62%
2019-09-09,"4,390.00","4,390.00","4,390.00","4,390.00",-,-4.88%
2019-09-10,"4,390.00","4,390.00","4,390.00","4,390.00",-,0.00%
2019-09-11,"4,465.00","4,465.00","4,465.00","4,465.00",-,1.71%
2019-09-12,"4,790.00","4,790.00","4,790.00","4,790.00",-,7.28%
2019-09-13,"4,990.00","4,990.00","4,990.00","4,990.00",-,4.18%
2019-09-14,"4,990.00","4,990.00","4,990.00","4,990.00",-,4.18%
2019-09-15,"4,990.00","4,990.00","4,990.00","4,990.00",-,4.18%
2019-09-16,"4,990.00","4,990.00","4,990.00","4,990.00",-,0.00%
2019-09-17,"4,990.00","4,990.00","4,990.00","4,990.00",-,0.00%
2019-09-18,"4,890.00","4,890.00","4,890.00","4,890.00",-,-2.00%
2019-09-19,"4,890.00","4,890.00","4,890.00","4,890.00",-,0.00%
2019-09-20,"5,315.00","5,315.00","5,315.00","5,315.00",-,8.69%
2019-09-21,"5,315.00","5,315.00","5,315.00","5,315.00",-,8.69%
2019-09-22,"5,315.00","5,315.00","5,315.00","5,315.00",-,8.69%
2019-09-23,"5,390.00","5,390.00","5,390.00","5,390.00",-,1.41%
2019-09-24,"5,390.00","5,390.00","5,390.00","5,390.00",-,0.00%
2019-09-25,"5,390.00","5,390.00","5,390.00","5,390.00",-,0.00%
2019-09-26,"5,360.00","5,360.00","5,360.00","5,360.00",-,-0.56%
2019-09-27,"5,340.00","5,340.00","5,340.00","5,340.00",-,-0.37%
2019-09-28,"5,340.00","5,340.00","5,340.00","5,340.00",-,-0.37%
2019-09-29,"5,340.00","5,340.00","5,340.00","5,340.00",-,-0.37%
2019-09-30,"5,290.00","5,290.00","5,290.00","5,290.00",-,-0.94%
2019-10-01,"5,290.00","5,290.00","5,290.00","5,290.00",-,0.00%
2019-10-02,"5,240.00","5,240.00","5,240.00","5,240.00",-,-0.95%
2019-10-03,"5,240.00","5,240.00","5,240.00","5,240.00",-,0.00%
2019-10-04,"5,190.00","5,190.00","5,190.00","5,190.00",-,-0.95%
2019-10-05,"5,190.00","5,190.00","5,190.00","5,190.00",-,-0.95%
2019-10-06,"5,190.00","5,190.00","5,190.00","5,190.00",-,-0.95%
2019-10-07,"5,190.00","5,190.00","5,190.00","5,190.00",-,0.00%
2019-10-08,"5,140.00","5,140.00","5,140.00","5,140.00",-,-0.96%
2019-10-09,"5,140.00","5,140.00","5,140.00","5,140.00",-,0.00%
2019-10-10,"5,140.00","5,140.00","5,140.00","5,140.00",-,0.00%
2019-10-11,"5,290.00","5,290.00","5,290.00","5,290.00",-,2.92%
2019-10-12,"5,290.00","5,290.00","5,290.00","5,290.00",-,2.92%
2019-10-13,"5,290.00","5,290.00","5,290.00","5,290.00",-,2.92%
2019-10-14,"5,290.00","5,290.00","5,290.00","5,290.00",-,0.00%
2019-10-15,"5,330.00","5,330.00","5,330.00","5,330.00",-,0.76%
2019-10-16,"5,440.00","5,440.00","5,440.00","5,440.00",-,2.06%
2019-10-17,"5,540.00","5,540.00","5,540.00","5,540.00",-,1.84%
2019-10-18,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.00%
2019-10-19,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.00%
2019-10-20,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.00%
2019-10-21,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.00%
2019-10-22,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.00%
2019-10-23,"5,515.00","5,515.00","5,515.00","5,515.00",-,-0.45%
2019-10-24,"5,490.00","5,490.00","5,490.00","5,490.00",-,-0.45%
2019-10-25,"5,480.00","5,480.00","5,480.00","5,480.00",-,-0.18%
2019-10-26,"5,480.00","5,480.00","5,480.00","5,480.00",-,-0.18%
2019-10-27,"5,480.00","5,480.00","5,480.00","5,480.00",-,-0.18%
2019-10-28,"5,440.00","5,440.00","5,440.00","5,440.00",-,-0.73%
2019-10-29,"5,415.00","5,415.00","5,415.00","5,415.00",-,-0.46%
2019-10-30,"5,400.00","5,400.00","5,400.00","5,400.00",-,-0.28%
2019-10-31,"5,380.00","5,380.00","5,380.00","5,380.00",-,-0.37%
2019-11-01,"5,365.00","5,365.00","5,365.00","5,365.00",-,-0.28%
2019-11-02,"5,365.00","5,365.00","5,365.00","5,365.00",-,-0.28%
2019-11-03,"5,365.00","5,365.00","5,365.00","5,365.00",-,-0.28%
2019-11-04,"5,365.00","5,365.00","5,365.00","5,365.00",-,0.00%
2019-11-05,"5,365.00","5,365.00","5,365.00","5,365.00",-,0.00%
2019-11-06,"5,365.00","5,365.00","5,365.00","5,365.00",-,0.00%
2019-11-07,"5,390.00","5,390.00","5,390.00","5,390.00",-,0.47%
2019-11-08,"5,490.00","5,490.00","5,490.00","5,490.00",-,1.86%
2019-11-09,"5,490.00","5,490.00","5,490.00","5,490.00",-,1.86%
2019-11-10,"5,490.00","5,490.00","5,490.00","5,490.00",-,1.86%
2019-11-11,"5,515.00","5,515.00","5,515.00","5,515.00",-,0.46%
2019-11-12,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.45%
2019-11-13,"5,540.00","5,540.00","5,540.00","5,540.00",-,0.00%
2019-11-14,"5,590.00","5,590.00","5,590.00","5,590.00",-,0.90%
2019-11-15,"5,815.00","5,815.00","5,815.00","5,815.00",-,4.03%
2019-11-16,"5,815.00","5,815.00","5,815.00","5,815.00",-,4.03%
2019-11-17,"5,815.00","5,815.00","5,815.00","5,815.00",-,4.03%
2019-11-18,"5,940.00","5,940.00","5,940.00","5,940.00",-,2.15%
2019-11-19,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.84%
2019-11-20,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-21,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-22,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-23,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-24,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-25,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-26,"5,990.00","5,990.00","5,990.00","5,990.00",-,0.00%
2019-11-27,"5,965.00","5,965.00","5,965.00","5,965.00",-,-0.42%
2019-11-28,"5,940.00","5,940.00","5,940.00","5,940.00",-,-0.42%
2019-11-29,"5,890.00","5,890.00","5,890.00","5,890.00",-,-0.84%
2019-11-30,"5,890.00","5,890.00","5,890.00","5,890.00",-,-0.84%
2019-12-01,"5,890.00","5,890.00","5,890.00","5,890.00",-,-0.84%
2019-12-02,"5,890.00","5,890.00","5,890.00","5,890.00",-,0.00%
2019-12-03,"5,890.00","5,890.00","5,890.00","5,890.00",-,0.00%
2019-12-04,"5,890.00","5,890.00","5,890.00","5,890.00",-,0.00%
2019-12-05,"5,915.00","5,915.00","5,915.00","5,915.00",-,0.42%
2019-12-06,"5,940.00","5,940.00","5,940.00","5,940.00",-,0.42%
2019-12-07,"5,940.00","5,940.00","5,940.00","5,940.00",-,0.42%
2019-12-08,"5,940.00","5,940.00","5,940.00","5,940.00",-,0.42%
2019-12-09,"6,020.00","6,020.00","6,020.00","6,020.00",-,1.35%
2019-12-10,"6,040.00","6,040.00","6,040.00","6,040.00",-,0.33%
2019-12-11,"6,040.00","6,040.00","6,040.00","6,040.00",-,0.00%
2019-12-12,"6,040.00","6,040.00","6,040.00","6,040.00",-,0.00%
2019-12-13,"6,140.00","6,140.00","6,140.00","6,140.00",-,1.66%
2019-12-14,"6,140.00","6,140.00","6,140.00","6,140.00",-,1.66%
2019-12-15,"6,140.00","6,140.00","6,140.00","6,140.00",-,1.66%
2019-12-16,"6,140.00","6,140.00","6,140.00","6,140.00",-,0.00%
2019-12-17,"6,140.00","6,140.00","6,140.00","6,140.00",-,0.00%
2019-12-18,"6,140.00","6,140.00","6,140.00","6,140.00",-,0.00%
2019-12-19,"6,090.00","6,090.00","6,090.00","6,090.00",-,-0.81%
2019-12-20,"6,065.00","6,065.00","6,065.00","6,065.00",-,-0.41%
2019-12-21,"6,065.00","6,065.00","6,065.00","6,065.00",-,-0.41%
2019-12-22,"6,065.00","6,065.00","6,065.00","6,065.00",-,-0.41%
2019-12-23,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-24,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-25,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-26,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-27,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-28,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-29,"6,065.00","6,065.00","6,065.00","6,065.00",-,0.00%
2019-12-30,"6,050.00","6,050.00","6,050.00","6,050.00",-,-0.25%
2019-12-31,"6,040.00","6,040.00","6,040.00","6,040.00",-,-0.17%
2020-01-01,"6,040.00","6,040.00","6,040.00","6,040.00",-,-0.17%
2020-01-02,"6,040.00","6,040.00","6,040.00","6,040.00",-,0.00%
2020-01-03,"6,140.00","6,140.00","6,140.00","6,140.00",-,1.66%
2020-01-04,"6,140.00","6,140.00","6,140.00","6,140.00",-,1.66%
2020-01-05,"6,140.00","6,140.00","6,140.00","6,140.00",-,1.66%
2020-01-06,"6,340.00","6,340.00","6,340.00","6,340.00",-,3.26%
2020-01-07,"6,915.00","6,915.00","6,915.00","6,915.00",-,9.07%
2020-01-08,"7,940.00","7,940.00","7,940.00","7,940.00",-,14.82%
2020-01-09,"8,190.00","8,190.00","8,190.00","8,190.00",-,3.15%
2020-01-10,"7,990.00","7,990.00","7,990.00","7,990.00",-,-2.44%
2020-01-11,"7,990.00","7,990.00","7,990.00","7,990.00",-,-2.44%
2020-01-12,"7,990.00","7,990.00","7,990.00","7,990.00",-,-2.44%
2020-01-13,"7,965.00","7,965.00","7,965.00","7,965.00",-,-0.31%
2020-01-14,"7,915.00","7,915.00","7,915.00","7,915.00",-,-0.63%
2020-01-15,"7,940.00","7,940.00","7,940.00","7,940.00",-,0.32%
2020-01-16,"8,090.00","8,090.00","8,090.00","8,090.00",-,1.89%
2020-01-17,"8,740.00","8,740.00","8,740.00","8,740.00",-,8.03%
2020-01-18,"8,740.00","8,740.00","8,740.00","8,740.00",-,8.03%
2020-01-19,"8,740.00","8,740.00","8,740.00","8,740.00",-,8.03%
2020-01-20,"9,090.00","9,090.00","9,090.00","9,090.00",-,4.00%
2020-01-21,"9,790.00","9,790.00","9,790.00","9,790.00",-,7.70%
2020-01-22,"9,975.00","9,975.00","9,975.00","9,975.00",-,1.89%
2020-01-23,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-24,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-25,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-26,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-27,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-28,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-29,"9,975.00","9,975.00","9,975.00","9,975.00",-,0.00%
2020-01-30,"10,015.00","10,015.00","10,015.00","10,015.00",-,0.40%
2020-01-31,"10,165.00","10,165.00","10,165.00","10,165.00",-,1.50%
2020-02-01,"10,165.00","10,165.00","10,165.00","10,165.00",-,1.50%
2020-02-02,"10,165.00","10,165.00","10,165.00","10,165.00",-,1.50%
2020-02-03,"10,340.00","10,340.00","10,340.00","10,340.00",-,1.72%
2020-02-04,"10,515.00","10,515.00","10,515.00","10,515.00",-,1.69%
2020-02-05,"10,765.00","10,765.00","10,765.00","10,765.00",-,2.38%
2020-02-06,"10,765.00","10,765.00","10,765.00","10,765.00",-,0.00%
2020-02-07,"10,765.00","10,765.00","10,765.00","10,765.00",-,0.00%
2020-02-08,"10,765.00","10,765.00","10,765.00","10,765.00",-,0.00%
2020-02-09,"10,765.00","10,765.00","10,765.00","10,765.00",-,0.00%
2020-02-10,"10,765.00","10,765.00","10,765.00","10,765.00",-,0.00%
2020-02-11,"10,765.00","10,765.00","10,765.00","10,765.00",-,0.00%
2020-02-12,"10,840.00","10,840.00","10,840.00","10,840.00",-,0.70%
2020-02-13,"10,965.00","10,965.00","10,965.00","10,965.00",-,1.15%
2020-02-14,"11,065.00","11,065.00","11,065.00","11,065.00",-,0.91%
2020-02-15,"11,065.00","11,065.00","11,065.00","11,065.00",-,0.91%
2020-02-16,"11,065.00","11,065.00","11,065.00","11,065.00",-,0.91%
2020-02-17,"11,590.00","11,590.00","11,590.00","11,590.00",-,4.74%
2020-02-18,"11,790.00","11,790.00","11,790.00","11,790.00",-,1.73%
2020-02-19,"12,290.00","12,290.00","12,290.00","12,290.00",-,4.24%
2020-02-20,"12,690.00","12,690.00","12,690.00","12,690.00",-,3.25%
2020-02-21,"12,690.00","12,690.00","12,690.00","12,690.00",-,0.00%
2020-02-22,"12,690.00","12,690.00","12,690.00","12,690.00",-,0.00%
2020-02-23,"12,690.00","12,690.00","12,690.00","12,690.00",-,0.00%
2020-02-24,"12,790.00","12,790.00","12,790.00","12,790.00",-,0.79%
2020-02-25,"12,890.00","12,890.00","12,890.00","12,890.00",-,0.78%
2020-02-26,"12,940.00","12,940.00","12,940.00","12,940.00",-,0.39%
2020-02-27,"12,940.00","12,940.00","12,940.00","12,940.00",-,0.00%
2020-02-28,"12,940.00","12,940.00","12,940.00","12,940.00",-,0.00%
2020-02-29,"12,940.00","12,940.00","12,940.00","12,940.00",-,0.00%
2020-03-01,"12,940.00","12,940.00","12,940.00","12,940.00",-,0.00%
2020-03-02,"12,590.00","12,590.00","12,590.00","12,590.00",-,-2.70%
