Date,Volume
2016-02-28,53033400
2016-02-29,60694700
2016-03-01,74895800
2016-03-02,74955296
2016-03-03,100484000
2016-03-04,90856096
2016-03-05,135384992
2016-03-06,91212496
2016-03-07,85762400
2016-03-08,70311696
2016-03-09,70012304
2016-03-10,81022896
2016-03-11,73969696
2016-03-12,92712896
2016-03-13,74322800
2016-03-14,95259400
2016-03-15,66781700
2016-03-16,65185800
2016-03-17,83528600
2016-03-18,104940000
2016-03-19,58423000
2016-03-20,45947900
2016-03-21,61655400
2016-03-22,66813300
2016-03-23,61444200
2016-03-24,68346704
2016-03-25,52560000
2016-03-26,44650400
2016-03-27,71229400
2016-03-28,68522800
2016-03-29,75411504
2016-03-30,66034100
2016-03-31,60215200
2016-04-01,51235700
2016-04-02,45681200
2016-04-03,38053700
2016-04-04,50634300
2016-04-05,60718000
2016-04-06,59091000
2016-04-07,57858600
2016-04-08,63454700
2016-04-09,49792700
2016-04-10,73478600
2016-04-11,50747500
2016-04-12,70728800
2016-04-13,69060400
2016-04-14,45281000
2016-04-15,54801500
2016-04-16,39392800
2016-04-17,52125900
2016-04-18,55670900
2016-04-19,52810500
2016-04-20,72890096
2016-04-21,68204704
2016-04-22,58804400
2016-04-23,50485400
2016-04-24,68198400
2016-04-25,87091800
2016-04-26,78971904
2016-04-27,93564896
2016-04-28,74064704
2016-04-29,49258500
2016-04-30,69322600
2016-05-01,40660100
2016-05-02,92127000
2016-05-03,59366400
2016-05-04,50407300
2016-05-05,50440800
2016-05-06,72796800
2016-05-07,38364500
2016-05-08,40315000
2016-05-09,55493100
2016-05-10,58956100
2016-05-11,50605200
2016-05-12,59849300
2016-05-13,60845000
2016-05-14,37209000
2016-05-15,28514000
2016-05-16,59171500
2016-05-17,64100300
2016-05-18,86850096
2016-05-19,96027400
2016-05-20,81987904
2016-05-21,42762300
2016-05-22,39657600
2016-05-23,50582500
2016-05-24,65783100
2016-05-25,65231000
2016-05-26,65203800
2016-05-27,164780992
2016-05-28,181199008
2016-05-29,148736992
2016-05-30,87958704
2016-05-31,138450000
2016-06-01,86061800
2016-06-02,60378200
2016-06-03,122020000
2016-06-04,94925296
2016-06-05,68874096
2016-06-06,72138896
2016-06-07,107770000
2016-06-08,80265800
2016-06-09,71301000
2016-06-10,66991900
2016-06-11,82357000
2016-06-12,277084992
2016-06-13,243295008
2016-06-14,186694000
2016-06-15,99223800
2016-06-16,271633984
2016-06-17,363320992
2016-06-18,252718000
2016-06-19,136184992
2016-06-20,174511008
2016-06-21,309944000
2016-06-22,266392992
2016-06-23,253462000
2016-06-24,224316992
2016-06-25,126656000
2016-06-26,109225000
2016-06-27,122134000
2016-06-28,138384992
2016-06-29,142456000
2016-06-30,138980000
2016-07-01,134431008
2016-07-02,112354000
2016-07-03,129512000
2016-07-04,92008400
2016-07-05,130476000
2016-07-06,134960992
2016-07-07,258091008
2016-07-08,141970000
2016-07-09,180536000
2016-07-10,102532000
2016-07-11,107910000
2016-07-12,138172992
2016-07-13,131449000
2016-07-14,98511400
2016-07-15,81673104
2016-07-16,50330200
2016-07-17,74407904
2016-07-18,69465000
2016-07-19,61203300
2016-07-20,94636400
2016-07-21,60491800
2016-07-22,134169000
2016-07-23,69532200
2016-07-24,118184000
2016-07-25,78176496
2016-07-26,225135008
2016-07-27,147460992
2016-07-28,86428400
2016-07-29,60703500
2016-07-30,38456100
2016-07-31,110818000
2016-08-01,121887000
2016-08-02,330932992
2016-08-03,207982000
2016-08-04,125292000
2016-08-05,66127900
2016-08-06,80797296
2016-08-07,82398400
2016-08-08,61194100
2016-08-09,92228096
2016-08-10,102905000
2016-08-11,74514400
2016-08-12,69218000
2016-08-13,43563000
2016-08-14,60851100
2016-08-15,57262300
