,date,RV
150,2018-05-31,0.0006919190895257577
151,2018-06-01,0.000977003240739401
152,2018-06-02,0.00044981821732585094
153,2018-06-03,9.665585533978668e-05
154,2018-06-04,0.00029748037697232936
155,2018-06-05,0.0005810169934420982
156,2018-06-06,0.0005277768199705483
157,2018-06-07,0.0001070275550861091
158,2018-06-08,0.00025446048809385616
159,2018-06-09,0.00034076043009209796
160,2018-06-10,0.004221788942964537
161,2018-06-11,0.0014101272629232385
162,2018-06-12,0.0017010978787145262
163,2018-06-13,0.0005685935341551913
164,2018-06-14,0.003869296046130235
165,2018-06-15,0.0007773785704138197
166,2018-06-16,0.000833680994155156
167,2018-06-17,0.0002485761412009444
168,2018-06-18,0.0013295409353870572
169,2018-06-19,5.083012572936533e-05
170,2018-06-20,0.0007906385956659082
