,Date,Open,High,Low,Close,Adj Close,Volume
659,2016-12-10,18839.980469,19042.480469,18821.410156,18996.369141,18996.369141,212300000.0
660,2016-12-11,18839.980469,19042.480469,18821.410156,18996.369141,18996.369141,212300000.0
661,2016-12-12,19183.820313,19280.929688,19054.0,19155.029297,19155.029297,200600000.0
662,2016-12-13,19120.759766,19253.509766,19060.720703,19250.519531,19250.519531,147600000.0
663,2016-12-14,19270.009766,19284.279297,19184.75,19253.609375,19253.609375,133200000.0
664,2016-12-15,19327.699219,19436.900391,19192.599609,19273.789063,19273.789063,154600000.0
665,2016-12-16,19438.390625,19439.970703,19360.359375,19401.150391,19401.150391,148700000.0
666,2016-12-17,19438.390625,19439.970703,19360.359375,19401.150391,19401.150391,148700000.0
667,2016-12-18,19438.390625,19439.970703,19360.359375,19401.150391,19401.150391,148700000.0
668,2016-12-19,19345.839844,19399.259766,19307.140625,19391.599609,19391.599609,106000000.0
669,2016-12-20,19367.839844,19511.199219,19356.810547,19494.529297,19494.529297,119600000.0
670,2016-12-21,19547.279297,19592.900391,19375.189453,19444.490234,19444.490234,130300000.0
671,2016-12-22,19396.849609,19427.669922,19327.509766,19427.669922,19427.669922,113500000.0
672,2016-12-23,19396.849609,19427.669922,19327.509766,19427.669922,19427.669922,113500000.0
673,2016-12-24,19396.849609,19427.669922,19327.509766,19427.669922,19427.669922,113500000.0
674,2016-12-25,19396.849609,19427.669922,19327.509766,19427.669922,19427.669922,113500000.0
675,2016-12-26,19394.410156,19432.480469,19385.939453,19396.640625,19396.640625,85500000.0
676,2016-12-27,19353.429688,19478.580078,19352.060547,19403.060547,19403.060547,110200000.0
677,2016-12-28,19392.109375,19442.130859,19364.730469,19401.720703,19401.720703,77700000.0
678,2016-12-29,19301.039063,19301.039063,19092.220703,19145.140625,19145.140625,163500000.0
679,2016-12-30,18997.679688,19176.810547,18991.589844,19114.369141,19114.369141,117800000.0
680,2016-12-31,18997.679688,19176.810547,18991.589844,19114.369141,19114.369141,117800000.0
681,2017-01-01,18997.679688,19176.810547,18991.589844,19114.369141,19114.369141,117800000.0
682,2017-01-02,18997.679688,19176.810547,18991.589844,19114.369141,19114.369141,117800000.0
683,2017-01-03,18997.679688,19176.810547,18991.589844,19114.369141,19114.369141,117800000.0
684,2017-01-04,19298.679688,19594.160156,19277.929688,19594.160156,19594.160156,163500000.0
685,2017-01-05,19602.099609,19615.400391,19473.279297,19520.689453,19520.689453,134500000.0
686,2017-01-06,19393.550781,19472.369141,19354.439453,19454.330078,19454.330078,119100000.0
687,2017-01-07,19393.550781,19472.369141,19354.439453,19454.330078,19454.330078,119100000.0
688,2017-01-08,19393.550781,19472.369141,19354.439453,19454.330078,19454.330078,119100000.0
689,2017-01-09,19393.550781,19472.369141,19354.439453,19454.330078,19454.330078,119100000.0
