,Date,forecast result
155,2021-03-24,0.03686815047996198
156,2021-03-25,0.03781600702979773
157,2021-03-26,0.03654539623533626
158,2021-03-27,0.035309115681851765
159,2021-03-28,0.03827043650673121
160,2021-03-29,0.0369855520444664
161,2021-03-30,0.037916447306717414
162,2021-03-31,0.03590510734143339
163,2021-04-01,0.03653394060652766
164,2021-04-02,0.03429657180883477
165,2021-04-03,0.033091717372600325
166,2021-04-04,0.03214710943074321
167,2021-04-05,0.03271790799043135
168,2021-04-06,0.03316772117911765
169,2021-04-07,0.03257942275150943
170,2021-04-08,0.03172783621846162
171,2021-04-09,0.032546668671488733
172,2021-04-10,0.03375314647455944
173,2021-04-11,0.03672941161355339
174,2021-04-12,0.03250835616838816
175,2021-04-13,0.03239315189547139
176,2021-04-14,0.033844897386201715
