,Date,forecast result
155,2021-03-24,0.037301654761402875
156,2021-03-25,0.03629582099257336
157,2021-03-26,0.037871045067320704
158,2021-03-27,0.03565470673651629
159,2021-03-28,0.03838998268369058
160,2021-03-29,0.03854100017414993
161,2021-03-30,0.03667018060294262
162,2021-03-31,0.0381671773489801
163,2021-04-01,0.03542563609352603
164,2021-04-02,0.03491954759719406
165,2021-04-03,0.03326170336219947
166,2021-04-04,0.03223365447281844
167,2021-04-05,0.03275694686486168
168,2021-04-06,0.03318394567979794
169,2021-04-07,0.03440052996158462
170,2021-04-08,0.03163904217381461
171,2021-04-09,0.032480687952742754
172,2021-04-10,0.03469269367178313
173,2021-04-11,0.0336424165709804
174,2021-04-12,0.03270509054800117
175,2021-04-13,0.03246981261132636
176,2021-04-14,0.031525127413373516
