date,RV
2018-10-04,0.0002491760280741
2018-10-05,5.8999777355706845e-05
2018-10-06,5.0647461190824427e-05
2018-10-07,7.129583429193087e-05
2018-10-08,9.440510262931034e-05
2018-10-09,2.3000486538410072e-05
2018-10-10,0.0001194538806936
2018-10-11,0.0021109579374565
2018-10-12,0.0001772643738492
2018-10-13,1.5540195778487596e-05
2018-10-14,0.0001901679090849
2018-10-15,0.006363862499164
2018-10-16,0.0003245972119299
2018-10-17,4.708376167163956e-05
2018-10-18,0.0001344229102102
2018-10-19,5.97740340012667e-05
2018-10-20,7.04288625237125e-05
2018-10-21,6.651540901205159e-05
2018-10-22,5.422356683943959e-05
2018-10-23,4.7555979674743857e-05
2018-10-24,5.857260854992185e-05
2018-10-25,3.745133759345013e-05
2018-10-26,2.0451355566820746e-05
2018-10-27,4.5046243121012656e-05
2018-10-28,2.602750081583812e-05
2018-10-29,0.0002226062996675
2018-10-30,2.923702454138405e-05
2018-10-31,8.631118868636732e-05
2018-11-01,4.854242986613005e-05
2018-11-02,2.121985833920366e-05
2018-11-03,5.157813780326473e-05
2018-11-04,0.0001507655442722
2018-11-05,4.006347771443309e-05
2018-11-06,0.0001010830625898
2018-11-07,0.0001148559067335
2018-11-08,0.000163217109272
2018-11-09,0.0001319364545168
2018-11-10,1.807374604060313e-05
2018-11-11,0.0001216184998129
2018-11-12,7.09318210580738e-06
2018-11-13,6.146215007511526e-06
2018-11-14,0.0051805986043014
2018-11-15,0.0018250298051386
2018-11-16,0.0003157416470156
2018-11-17,0.0002524763190365
2018-11-18,0.000195433039202
2018-11-19,0.0035506180116552
2018-11-20,0.0166042703858531
2018-11-21,0.0014613652939099
2018-11-22,0.00152352014409
2018-11-23,0.000518048026236
2018-11-24,0.0076695466201783
2018-11-25,0.0043708000504697
2018-11-26,0.0033963220243976
2018-11-27,0.0012005412901338
2018-11-28,0.0040018251878766
2018-11-29,0.0034548142257156
2018-11-30,0.0027162825788063
2018-12-01,0.002697638623581
2018-12-02,0.0001296395834308
2018-12-03,0.0022294899341737
2018-12-04,0.0021308769515673
2018-12-05,0.0016154373418699
2018-12-06,0.0040536450001391
2018-12-07,0.0054239315568387
2018-12-08,0.000539096356163
2018-12-09,0.0016681436620576
2018-12-10,0.000942549674228
2018-12-11,0.0003342104308563
2018-12-12,0.0002489906669341
2018-12-13,0.000926301832104
2018-12-14,0.0003116115427725
2018-12-15,0.0004061789454238
2018-12-16,0.0005818773210819
2018-12-17,0.0032780045340584
2018-12-18,0.0013419125764818
2018-12-19,0.0021606165578123
2018-12-20,0.004097237553297
2018-12-21,0.0016961663659646
2018-12-22,0.0008530589109398
2018-12-23,0.0007322416153493
2018-12-24,0.0033627148473478
2018-12-25,0.0063657488907545
2018-12-26,0.0007902963460743
2018-12-27,0.0017248321165483
2018-12-28,0.0023659940797457
2018-12-29,0.001118748990023
2018-12-30,0.000386354641041
2018-12-31,0.0006032051699196
2019-01-01,0.0007728352718377
2019-01-02,0.0001821136534072
2019-01-03,0.0002728808647184
2019-01-04,0.000342465971331
2019-01-05,0.0002257703241232
2019-01-06,0.0027094545067291
2019-01-07,5.584569422320512e-05
2019-01-08,0.0002999367060819
2019-01-09,0.0001359856736235
2019-01-10,0.0041043198161147
2019-01-11,5.560189891099549e-05
2019-01-12,8.078437298845256e-05
2019-01-13,0.000910191461439
2019-01-14,0.0017081274136323
2019-01-15,0.0001780528367792
2019-01-16,0.0001441363671825
2019-01-17,7.22715812449898e-05
2019-01-18,0.0001788804883596
2019-01-19,0.000629332056396
2019-01-20,0.0010212148078127
2019-01-21,6.599516339798154e-05
2019-01-22,0.0002100182286958
2019-01-23,0.0001440455953609
2019-01-24,8.497032113056437e-05
2019-01-25,0.0001318114199824
2019-01-26,0.000275155128581
2019-01-27,9.59651943362652e-05
2019-01-28,0.0005627099808638
2019-01-29,0.0005113592078185
2019-01-30,0.0001070343251412
2019-01-31,0.0002309604682801
2019-02-01,0.0001704786024254
2019-02-02,0.0002340572996832
2019-02-03,0.0001224834450779
2019-02-04,0.0001329987704208
2019-02-05,1.152801951104817e-05
2019-02-06,0.0002829760273914
2019-02-07,7.424393133845308e-06
2019-02-08,0.0024907367133033
2019-02-09,0.0001188144406378
2019-02-10,0.0001600123461636
2019-02-11,0.0002090149193936
2019-02-12,0.0001081828233737
2019-02-13,5.297277442268616e-05
2019-02-14,7.877488169572778e-05
2019-02-15,0.0001254959378829
2019-02-16,3.279468527820785e-05
2019-02-17,0.0002400840341911
2019-02-18,0.001104734048674
2019-02-19,0.0005982659481028
2019-02-20,0.0001604548527978
2019-02-21,0.0001102068879673
2019-02-22,5.9729261608040166e-05
2019-02-23,0.0015171252533023
2019-02-24,0.0084367162216137
2019-02-25,0.0004083736816219
2019-02-26,9.120523661696297e-05
2019-02-27,3.843132483508165e-05
2019-02-28,0.0001087469092932
2019-03-01,7.169746384106854e-05
2019-03-02,0.0001096991645586
2019-03-03,5.4303644429176544e-05
2019-03-04,0.0004394931381668
2019-03-05,0.0006610183415061
2019-03-06,0.0001048611857043
2019-03-07,6.274658583365112e-05
2019-03-08,0.0002849182761481
2019-03-09,0.0002339426357498
2019-03-10,6.740688266443114e-05
2019-03-11,0.0001861021451175
2019-03-12,0.0002890165016573
2019-03-13,7.147119413553407e-05
2019-03-14,4.107261240663805e-05
2019-03-15,7.35818027620878e-05
2019-03-16,0.0003365517537463
2019-03-17,8.970478292973846e-05
2019-03-18,0.0001198223160786
